# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=8, N=8, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Rhop,dRhop,LapRhop,Jp,DivJp,Rhon,dRhon,LapRhon,Jn,DivJn,Rhol,dRhol,LapRhol,Jl,DivJl,RhoN,dRhoN,LapRhoN,JN,DivJN
0.0,0.07421588919202103,1.734723475976807e-17,0.08296402535189235,0.0,-0.028837125657789335,0.07626191710494916,1.734723475976807e-17,0.08836297608903818,0.0,-0.03155122122505133,0.0,0.0,0.0,0.0,0.0,0.1504778062969702,3.469446951953614e-17,0.17132700144093052,0.0,-0.060388346882840664
0.05,0.07425045224161886,0.0013752492685400498,0.08219562546101405,-0.00047834465707106066,-0.02860454594166998,0.07629868903687698,0.001466545059720572,0.08774444834403308,-0.0005235680977647339,-0.031318096855755394,0.0,0.0,0.0,0.0,0.0,0.15054914127849583,0.0028417943282606217,0.16994007380504714,-0.0010019127548357945,-0.059922642797425374
0.1,0.07435294390046963,0.002720594716129638,0.08097982815820359,-0.000944595488862512,-0.028087352282952994,0.07640807387551342,0.0029021218906998686,0.08630540010185761,-0.0010347922908178738,-0.030777965793458664,0.0,0.0,0.0,0.0,0.0,0.15076101777598305,0.005622716606829507,0.1672852282600612,-0.0019793877796803858,-0.058865318076411655
0.15000000000000002,0.07452174034808363,0.004020786599530594,0.07896743325157123,-0.0013959634585325028,-0.027430117072848648,0.07658801616555864,0.0042848279581269265,0.08409419765986248,-0.0015295464616786342,-0.030059782557100304,0.0,0.0,0.0,0.0,0.0,0.15110975651364228,0.00830561455765752,0.16306163091143372,-0.002925509920211137,-0.05748989962994895
0.2,0.07475383721406151,0.00524921731547447,0.07620246800779366,-0.0018236849082698837,-0.02650620738091812,0.07683526099998254,0.0055896292686098865,0.08104635422281468,-0.0019985549250504907,-0.029055660320972357,0.0,0.0,0.0,0.0,0.0,0.15158909821404404,0.010838846584084356,0.15724882223060835,-0.0038222398333203744,-0.05556186770189048
0.25,0.07504512679063549,0.006385158712496463,0.07274608178465113,-0.002220697436880868,-0.025356134740563443,0.07714528925775391,0.006792544162876543,0.07723798159799317,-0.0024341713307945555,-0.027805550542620093,0.0,0.0,0.0,0.0,0.0,0.1521904160483894,0.013177702875373006,0.1499840633826443,-0.004654868767675424,-0.05316168528318353
0.30000000000000004,0.07539050505159976,0.007409804269231102,0.0686654327218141,-0.002580852336717865,-0.02400392122618777,0.0775124810519096,0.007872924928381802,0.07274430791797519,-0.0028297246014647743,-0.02633589918268199,0.0,0.0,0.0,0.0,0.0,0.15290298610350936,0.015282729197612904,0.14140974063978928,-0.0054105769381826395,-0.050339820408869765
0.35000000000000003,0.07578398782089173,0.008306830357041693,0.06403674874619739,-0.0028989697388064548,-0.022478145908389188,0.07793025008324914,0.008812892585457806,0.06765075151745709,-0.0031795959352347164,-0.024677892822880212,0.0,0.0,0.0,0.0,0.0,0.15371423790414085,0.0171197229424995,0.13168750026365447,-0.006078565674041171,-0.047156038731269403
0.4,0.07621884289457279,0.009062668944066089,0.05894210102083729,-0.003170919934833375,-0.020809885916118397,0.07839119264691528,0.009597665408614797,0.062049375845329546,-0.0034793106568216797,-0.022865431099797977,0.0,0.0,0.0,0.0,0.0,0.15461003554148806,0.018660334352680885,0.12099147686616683,-0.006650230591655055,-0.04367531701591637
0.45,0.07668773132019467,0.009666627156417543,0.053466252449961865,-0.0033936754955364214,-0.01903160667901585,0.07888724646652467,0.010215692749370175,0.05603534544977399,-0.0037255958578692686,-0.02093392417347467,0.0,0.0,0.0,0.0,0.0,0.15557497778671936,0.019882319905787718,0.10950159789973585,-0.00711927135340569,-0.03996553085249052
0.5,0.07718285167958368,0.010110889670345204,0.04769368425636106,-0.0035653266453866874,-0.01717612705434755,0.07940985287294502,0.010658659406788274,0.04970361407396123,-0.003916397293127443,-0.01891916213356078,0.0,0.0,0.0,0.0,0.0,0.15659270455252872,0.02076954907713348,0.09739729833032229,-0.00748172393851413,-0.03609528918790833
0.55,0.07769608180712825,0.010390415508000697,0.04170588456153345,-0.0036850607372539007,-0.015275669407109274,0.07995011624186503,0.010921373516853405,0.04314590272627251,-0.0040508568092473985,-0.01685627537119079,0.0,0.0,0.0,0.0,0.0,0.15764619804899327,0.021311789024854103,0.08485178728780596,-0.007735917546501299,-0.032131944778300066
0.6000000000000001,0.07821911298783431,0.010502743171622326,0.035579014940390695,-0.0037531095848927307,-0.013361027140738125,0.08049895520556513,0.011001552643326029,0.03644809604108345,-0.004129254491216119,-0.014778822356140593,0.0,0.0,0.0,0.0,0.0,0.15871806819339945,0.021504295814948355,0.07202711098147414,-0.00788236407610885,-0.02813984949687872
0.65,0.07874357248139932,0.010447721820242648,0.029382040042103007,-0.003770669884964075,-0.011460873605912872,0.08104724101737347,0.010899527398417833,0.029688150573563485,-0.004152921258222166,-0.012718031379662887,0.0,0.0,0.0,0.0,0.0,0.15979081349877278,0.02134724921866048,0.05907019061566649,-0.007923591143186241,-0.02417890498557576
